대분류코드,대분류명,중분류코드,중분류명,소분류코드,소분류명,,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1101,분자유전체학(Molecular genomics),110101,유전체 처리 및 조절기술(Genome processing and regulation),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1101,분자유전체학(Molecular genomics),110102,염색체 연구기술(Chromosome research technique),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1101,분자유전체학(Molecular genomics),110103,유전체 구조 및 기능 관련기술(Genome structure and function),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1101,분자유전체학(Molecular genomics),110104,유전체 역학 관련기술(Genomic epidemiology),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1101,분자유전체학(Molecular genomics),110105,유전자치료기술(Gene therapy),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1101,분자유전체학(Molecular genomics),110199,기타 분자유전체학 관련기술(Other molecular genomics related technologies),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1102,기능유전체학 및 단백체학(Functional genomics and proteomics),110201,기능성 유전자부위 발굴기술(Functional gene identifying),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1102,기능유전체학 및 단백체학(Functional genomics and proteomics),110202,유전자의 발현양상에 기초한 기능분석기술(Functional genomic analysis based on gene expression),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1102,기능유전체학 및 단백체학(Functional genomics and proteomics),110203,단백질상호작용에 기초한 기능분석기술(Functional genomic analysis based on protein interaction),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1102,기능유전체학 및 단백체학(Functional genomics and proteomics),110204,형질전환기술(Transgenics),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1102,기능유전체학 및 단백체학(Functional genomics and proteomics),110205,단백체의 구조 관련기술(Structural proteomics),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1102,기능유전체학 및 단백체학(Functional genomics and proteomics),110206,단백체의 표현 관련기술(Expression proteomics),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1102,기능유전체학 및 단백체학(Functional genomics and proteomics),110207,단백체의 세포지도 관련기술(Cell-mapping proteomics),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1102,기능유전체학 및 단백체학(Functional genomics and proteomics),110208,단백체의 화학적 반응 관련기술(Chemical proteomics),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1102,기능유전체학 및 단백체학(Functional genomics and proteomics),110209,생물정보학 관련 기술(Bioinformatics),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1102,기능유전체학 및 단백체학(Functional genomics and proteomics),110299,기타 기능유전체학 및 단백체학 관련기술(Other functional genomics and proteomics related technologies,,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1103,생체공학(Bioengineering),110301,생체의학의 공학적 기반기술(Engineering infratechnology on biomedicine),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1103,생체공학(Bioengineering),110302,전산학적 방법과 정보처리기술(Computational method and information processing),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1103,생체공학(Bioengineering),110303,생정통계 기술(Biostatistics),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1103,생체공학(Bioengineering),110304,수학적 모델링 기술(Mathmetical modelling),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1103,생체공학(Bioengineering),110305,영상기술(Imaging technique),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1103,생체공학(Bioengineering),110399,기타 생체공학 관련기술(Other bioengineering related technologies),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1104,세포학(Cell biology),110401,이온통로 및 운반체의 기능과 질환 관련기술(Ion channel & membrane transport),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1104,세포학(Cell biology),110402,세포의 구조 및 역동학 관련기술(Cellular structure & dynamics),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1104,세포학(Cell biology),110403,세포 분열 및 운동 관련기술(Cell division & cellular motility),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1104,세포학(Cell biology),110404,세포공학기술(Bioenergetics),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1104,세포학(Cell biology),110405,세포내 및 세포간 신호전달 관련기술(Intracellular & intercellular signal transduction),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1104,세포학(Cell biology),110406,세포 배양 기술(Cell culture),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1104,세포학(Cell biology),110499,기타 세포학 관련기술(Other cell biology related technologies),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1105,생화학(Biochemistry),110501,화합물합성기술(Chemical synthesis),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1105,생화학(Biochemistry),110502,핵산 관련기술(Nucleotide),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1105,생화학(Biochemistry),110503,올리고당 및 다당류 관련기술(Oligo and polysaccharide),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1105,생화학(Biochemistry),110504,지방질 화학 관련기술(Lipid chemistry),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1105,생화학(Biochemistry),110505,단백질 관련기술(Protein),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1105,생화학(Biochemistry),110599,기타 생화학 관련기술(Other biochemistry related technologies),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1106,발달 및 노화(Development and aging),110601,세포의 발생과 분화 연구기술(Cellular development and differentiation),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1106,발달 및 노화(Development and aging),110602,간세포(Stem cell)의 분화 연구기술(Stem cell differentiation),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1106,발달 및 노화(Development and aging),110603,기관형성 연구기술(Organogenesis),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1106,발달 및 노화(Development and aging),110604,노화 연구기술(Aging),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1106,발달 및 노화(Development and aging),110699,기타 발달 및 노화 관련기술(Other development and aging related technologies),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1107,면역학(Immunology),110701,백신 관련기술(Vaccine),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1107,면역학(Immunology),110702,자가면역질환 관련기술(Autoimmune disease),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1107,면역학(Immunology),110703,종양면역학적 기술(Tumor immunology),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1107,면역학(Immunology),110704,장기이식 기반 기술(Basic transplantation technique),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1107,면역학(Immunology),110705,과민질환(Hypersensitivity diseases),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1107,면역학(Immunology),110799,기타 면역학 관련기술(Other immunology related technologies),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1108,감염 및 미생물학(Infection and microbiology),110801,세균성 질환 관련기술(Bacterial disease),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1108,감염 및 미생물학(Infection and microbiology),110802,바이러스성 질환 관련기술(Viral disease),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1108,감염 및 미생물학(Infection and microbiology),110803,진균성 질환 관련기술(Fungal disease),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1108,감염 및 미생물학(Infection and microbiology),110804,기생충 질환 관련기술(Parasitological disease),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1108,감염 및 미생물학(Infection and microbiology),110805,항생제 내성기전 관련기술(bacterial resistence technique),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1108,감염 및 미생물학(Infection and microbiology),110899,기타 감염 및 미생물학 관련기술(Ohter infection and microbiology related technologies),,,,,,,,,
11,기초 및 임상의학(Basic and clinical medicine),1108,감염 및 미생물학(Infection and microbiology),110901,"종양유전학, 종양세포생물학 및 전이 관련 기술 (Onco-genetics, onco-cellular biology and metastasis)",,,,,,,,,
